City,BHK,Location,Price (₹),Area (sqft),Property Type,Furnishing,Property Facing,overlooking,Bathroom,Balcony,Tenant Preferred,Availability
Hyderabad,3,"Aparna Sarovar Zicon, Nalagandla, Hyderabad",53000,1495 sqft,Flat,Semi-Furnished,West,"Pool, Garden/Park, Main Road",2,1,Bachelors,Immediately
Hyderabad,3,"Jayabheri The Summit, Narsingi, Outer Ring Road, Hyderabad",75000,2125 sqft,Flat,Semi-Furnished,West,Main Road,3,1,Bachelors,Immediately
Hyderabad,4,Prashasan Nagar Hyderabad,4.8 Lac,7000 sqft,House,Unfurnished,North,Main Road,5,2,Bachelors/Family,Immediately
Hyderabad,4,"Brigade At No 7, Zahara Nagar, Hyderabad",2 Lac,2350 sqft,Flat,Semi-Furnished,West,Garden/Park,4,1,Family,Immediately
Hyderabad,3,"Prestige Beverly Hills, Kokapet, Outer Ring Road, Hyderabad",85000,1534 sqft,Flat,Semi-Furnished,West,Main Road,3,2,Family,Immediately
Hyderabad,4,"Lanco Hills, Manikonda Jagir, Hyderabad",2.1 Lac,3900 sqft,Flat,Furnished,East,Garden/Park,5,2,Bachelors/Family,Immediately
Hyderabad,3,"Team 4 Nyla, Miyapur, NH 9, Hyderabad",50000,1860 sqft,Flat,Semi-Furnished,East,Garden/Park,3,2,Family,Immediately
Hyderabad,3,Gagillapur Hyderabad,47000,2200 sqft,Villa,Furnished,West,Garden/Park,3,2,Bachelors/Family,Immediately
Hyderabad,3,"Rajapushpa Provincia, Narsingi, Outer Ring Road, Hyderabad",90000,2660 sqft,Flat,Unfurnished,East,"Garden/Park, Pool, Main Road",3,3,Bachelors,Immediately
Hyderabad,2,Begumpet Hyderabad,23000,950 sqft,House,Semi-Furnished,,,2,,Bachelors/Family,Immediately
Hyderabad,3,"Ushodaya Towers, Chanda Nagar, Hyderabad",32000,1500 sqft,Flat,Semi-Furnished,,,3,,Bachelors/Family,Immediately
Hyderabad,3,"Aparna Sarovar Zicon, Nalagandla, Hyderabad",60000,2435 sqft,Flat,Semi-Furnished,East,Main Road,3,2,Bachelors,Immediately
Hyderabad,2,"Lodha Meridian, Kukatpally Housing Board Colony, NH 9, Hyderabad",45000,1050 sqft,Flat,Semi-Furnished,East,Main Road,2,1,Family,Immediately
Hyderabad,3,"New Nagole Colony Kothapet, Hyderabad",30000,1100 sqft,Flat,Semi-Furnished,West,Main Road,3,2,Bachelors/Family,Immediately
Hyderabad,3,"Satya Nivriti, Miyapur, NH 9, Hyderabad",29000,1632 sqft,Flat,Semi-Furnished,East,Garden/Park,3,1,Bachelors,Immediately
Hyderabad,2,"Moosarambagh, NH 9 Hyderabad",21000,1450 sqft,House,Semi-Furnished,East,Garden/Park,2,2,Bachelors,Immediately
Hyderabad,3,"Patels Green Front, Yapral, Hyderabad",35000,1835 sqft,Flat,Semi-Furnished,West,Garden/Park,3,1,Bachelors/Family,Immediately
Hyderabad,3,"Prestige Tranquil, Kokapet, Outer Ring Road, Hyderabad",66000,1550 sqft,Flat,Semi-Furnished,East,Main Road,3,2,Bachelors/Family,Immediately
Hyderabad,2,Borabanda Hyderabad,25000,900 sqft,House,Semi-Furnished,,,2,1,Bachelors/Family,Immediately
Hyderabad,3,"Modi Lotus Homes, Ahmedguda, Hyderabad",10000,1100 sqft,Flat,Semi-Furnished,,,2,1,Bachelors/Family,Immediately
Hyderabad,2,Shadnagar Chevella Road Hyderabad,10000,600 sqft,House,Unfurnished,North,,2,1,Bachelors/Family,Immediately
Hyderabad,2,Hyderabad,28000,1250 sqft,Flat,Furnished,East,,2,2,Bachelors,Immediately
Hyderabad,3,"My Home Mangala, Kondapur, Hyderabad",60000,1798 sqft,Flat,Semi-Furnished,East,Garden/Park,3,1,Bachelors,Immediately
Hyderabad,3,"My Home Avatar, Narsingi, Outer Ring Road, Hyderabad",65000,1600 sqft,Flat,Semi-Furnished,West,"Garden/Park, Pool",3,2,Family,Immediately
Hyderabad,2,"Bhavyas Tulasivanam, Navodaya Colony Kukatpally, Hyderabad",35000,800 sqft,Flat,Furnished,West,,2,1,Bachelors/Family,Immediately
Hyderabad,4,"Kukatpally, NH 9 Hyderabad",90000,3000 sqft,Villa,Semi-Furnished,West,"Garden/Park, Pool, Main Road",5,2,Family,Immediately
Hyderabad,1,Hyderabad,26000,500 sqft,Flat,Furnished,East,Main Road,1,1,Bachelors/Family,Immediately
Hyderabad,3,"Gachibowli, Hyderabad",75000,2200 sqft,Flat,Furnished,East,"Garden/Park, Pool, Main Road",3,2,Bachelors/Family,Immediately
Hyderabad,2,"Puppalguda, Hyderabad",26000,800 sqft,Flat,Semi-Furnished,East,Main Road,2,1,Bachelors,Immediately
Hyderabad,3,"Greenmark Galaxy Apartments, Kondapur, Hyderabad",54000,2000 sqft,Flat,Semi-Furnished,West,"Garden/Park, Pool, Main Road",3,1,Family,Immediately
Hyderabad,3,"Auro The Regent, Kondapur, Hyderabad",60000,1231 sqft,Flat,Semi-Furnished,West,,3,2,Bachelors/Family,Immediately
Hyderabad,3,"VV Nagar, Hyderabad",20000,1500 sqft,Flat,Semi-Furnished,East,,2,1,Bachelors/Family,Immediately
Hyderabad,1,"Kondapur, Hyderabad",17000,199 sqft,Flat,Semi-Furnished,North,,1,,Bachelors/Family,Immediately
Hyderabad,3,"Financial District, Nanakram Guda, Hyderabad",70000,1900 sqft,Flat,Semi-Furnished,West,Garden/Park,3,3,Bachelors/Family,Immediately
Hyderabad,4,"Hill County, Nizampet, Hyderabad",45000,3000 sqft,Flat,Furnished,East,Garden/Park,5,2,Bachelors,Immediately
Hyderabad,3,Medipalli Hyderabad,20000,1900 sqft,House,Unfurnished,North - East,"Garden/Park, Main Road",3,3,Bachelors/Family,Immediately
Hyderabad,2,"Yapral, Hyderabad",18000,1140 sqft,Flat,Furnished,,,2,1,Bachelors/Family,Immediately
Hyderabad,3,"Srisailam Highway, Hyderabad",55000,2060 sqft,Flat,Furnished,East,"Garden/Park, Pool",3,1,Bachelors,Immediately
Hyderabad,3,"Aditya Imperial Heights, Aditya Nagar Hafeezpet, Hyderabad",45000,1800 sqft,Flat,Furnished,East,"Garden/Park, Pool, Main Road",3,3,Bachelors,Immediately
Hyderabad,3,"Qualitas Serenity Park, Kokapet, Outer Ring Road, Hyderabad",55000,1770 sqft,Flat,Semi-Furnished,,,3,,Bachelors/Family,From Mar '26
Hyderabad,4,"Jubilee Hills, Hyderabad",90000,3200 sqft,Flat,Semi-Furnished,North,Garden/Park,4,3,Bachelors,Immediately
Hyderabad,1,"Banjara Hills, NH 9, Hyderabad",12500,450 sqft,Flat,Unfurnished,South - East,Main Road,1,1,Bachelors/Family,Immediately
Hyderabad,4,"Pedso 1, Secunderabad Hyderabad",45000,2200 sqft,Villa,Semi-Furnished,,,4,4,Bachelors/Family,Immediately
Hyderabad,4,"Lodha Bellezza, Hitech City, Hyderabad",1.8 Lac,4761 sqft,Flat,Furnished,,,6,2,Bachelors/Family,From Feb '26
Hyderabad,3,"Miyapur, NH 9, Hyderabad",28000,1435 sqft,Flat,Semi-Furnished,North,"Garden/Park, Main Road",2,2,Bachelors,Immediately
Hyderabad,3,"SMR Vinay Classic, Kondapur, Hyderabad",62000,1300 sqft,Flat,Furnished,,,2,1,Bachelors,Immediately
Hyderabad,3,"Prestige Tranquil, Kokapet, Outer Ring Road, Hyderabad",65000,1769 sqft,Flat,Semi-Furnished,,,3,1,Bachelors/Family,Immediately
Hyderabad,2,"Prestige Ivy League, Hitech City, Hyderabad",65000,1355 sqft,Flat,Furnished,,Garden/Park,2,1,Bachelors/Family,Immediately
Hyderabad,2,"Sri Shanmukha Residency, Mallapur, Hyderabad",16000,1060 sqft,Flat,Semi-Furnished,East,,2,1,Bachelors,Immediately
Hyderabad,2,"Indis VB City, Kompally, Hyderabad",17500,842 sqft,Flat,Semi-Furnished,,,2,2,Bachelors/Family,Immediately
Hyderabad,3,"Stellar RNP 1, Kondapur, Hyderabad",65000,1585 sqft,Flat,Semi-Furnished,East,"Garden/Park, Pool",3,1,Bachelors,Immediately
Hyderabad,2,Hyderabad,32000,800 sqft,Flat,Furnished,,,2,1,Bachelors/Family,Immediately
Hyderabad,4,Appa Junction Area Hyderabad,75000,3200 sqft,Villa,Furnished,East,,3,2,Bachelors/Family,Immediately
Hyderabad,3,Gachibowli Hyderabad,67000,2600 sqft,House,Semi-Furnished,,Garden/Park,3,,Family,Immediately
Hyderabad,3,Sai Enclave Bhola Nagar Hyderabad,29000,1500 sqft,House,Unfurnished,,,3,,Bachelors/Family,Immediately
Hyderabad,4,"Brindavan Colony Toli Chowki, Hyderabad",20000,1950 sqft,Flat,Unfurnished,,,3,,Bachelors/Family,Immediately
Hyderabad,3,"Movie Towers, Kokapet, Outer Ring Road, Hyderabad",60000,2800 sqft,Flat,Semi-Furnished,,"Garden/Park, Pool, Main Road",3,2,Bachelors,Immediately
Hyderabad,2,"Mehdipatnam, Hyderabad",16000,1100 sqft,Flat,Semi-Furnished,,,2,1,Bachelors,From Feb '26
Hyderabad,3,"Rochishmati Noveo Homes, Adibatla, Hyderabad",25000,1600 sqft,Flat,Semi-Furnished,West,"Garden/Park, Pool, Main Road",2,2,Bachelors/Family,Immediately
Hyderabad,2,Balapur Hyderabad,12500,1100 sqft,House,Semi-Furnished,,,2,,Bachelors/Family,Immediately
Hyderabad,2,"Prajapati Elite, Miyapur, NH 9, Hyderabad",25000,1200 sqft,Flat,Furnished,West,Main Road,2,2,Bachelors/Family,Immediately
Hyderabad,3,"Alkapur Township, Manikonda, Outer Ring Road Hyderabad",35000,1500 sqft,House,Semi-Furnished,North,Main Road,2,,Bachelors,Immediately
Hyderabad,3,saket bhusatva Hyderabad,36000,3391 sqft,Villa,Semi-Furnished,,,4,,Bachelors/Family,Immediately
Hyderabad,3,"EIPL Rivera, Manchirevula, Outer Ring Road, Hyderabad",55000,1800 sqft,Flat,Semi-Furnished,,,3,1,Bachelors/Family,Immediately
Hyderabad,3,Sainikpuri Hyderabad,29000,1800 sqft,House,Furnished,East,Main Road,3,2,Bachelors/Family,Immediately
Hyderabad,3,"Aparna CyberZon, Nalagandla, Hyderabad",60000,1800 sqft,Flat,Furnished,North - West,Garden/Park,3,2,Bachelors/Family,Immediately
Hyderabad,3,"Usharam Integra, Brindavan Colony Toli Chowki, Hyderabad",65000,2000 sqft,Flat,Semi-Furnished,North,,3,3,Family,Immediately
Hyderabad,3,"Sunyuga Elegance, Kompally, Hyderabad",23000,1400 sqft,Flat,Semi-Furnished,West,Pool,2,1,Bachelors,Immediately
Hyderabad,2,"Lakshmis Shell Serenity, Miyapur, NH 9, Hyderabad",28000,990 sqft,Flat,Furnished,West,"Garden/Park, Main Road",2,1,Bachelors,From Feb '26
Hyderabad,3,Beeramguda Ramachandrapuram Hyderabad,20000,1500 sqft,Villa,Semi-Furnished,East,,4,1,Bachelors,Immediately
Hyderabad,3,"UNM Mahanagar Delux, Hitech City, Hyderabad",47000,1500 sqft,Flat,Semi-Furnished,East,,2,2,Bachelors/Family,Immediately
Hyderabad,4,Kompally Hyderabad,35000,230 sqyrd,Villa,Semi-Furnished,West,Garden/Park,3,1,Bachelors,Immediately
Hyderabad,2,"Kapra Saket Road, Hyderabad",24000,180 sqyrd,Flat,Semi-Furnished,East,,2,1,Family,Immediately
Hyderabad,2,"Indis One City, Phase 5th KPHB, Hyderabad",45000,1503 sqft,Flat,Semi-Furnished,East,,2,2,Family,Immediately
Hyderabad,3,"Pragathi Square, Pragathi Nagar, Kukatpally, Hyderabad",35000,1560 sqft,Flat,Furnished,East,,3,2,Bachelors,Immediately
Hyderabad,3,Navodaya Colony Kukatpally Hyderabad,37000,1500 sqft,House,Semi-Furnished,East,,3,2,Family,Immediately
Hyderabad,2,"Aparna Kanopy Marigold, Kompally, Hyderabad",23000,1350 sqft,Flat,Semi-Furnished,West,,2,1,Bachelors/Family,Immediately
Hyderabad,2,"Praneeth Pranav Flora, Bahadurpally, Hyderabad",22500,980 sqft,Flat,Semi-Furnished,East,Garden/Park,2,,Bachelors/Family,Immediately
Hyderabad,4,"Greater Koneru Kassel, Kondapur, Hyderabad",55000,1450 sqft,Flat,Semi-Furnished,,Main Road,3,2,Bachelors,Immediately
Hyderabad,3,"Kondapur, Hyderabad",35000,1000 sqft,Flat,Semi-Furnished,East,Main Road,3,1,Bachelors,Immediately
Hyderabad,3,"NCC Urban One, Narsingi, Outer Ring Road, Hyderabad",58000,1535 sqft,Flat,Semi-Furnished,,,3,,Bachelors/Family,Immediately
Hyderabad,2,"Sunway Opus Grand Neville 3B, Ameenpur, Hyderabad",28000,1101 sqft,Flat,Semi-Furnished,East,,2,,Family,From Feb '26
Hyderabad,3,"Viksha Myra, Kompally, Hyderabad",35000,1720 sqft,Flat,Furnished,,,3,,Bachelors/Family,Immediately
Hyderabad,3,"Tellapur, Outer Ring Road Hyderabad",50000,2500 sqft,Villa,Semi-Furnished,West,Garden/Park,3,2,Bachelors,Immediately
Hyderabad,3,"Ameenpur, Hyderabad",35000,1590 sqft,Flat,Semi-Furnished,West,,3,2,Bachelors/Family,From Apr '26
Hyderabad,4,Velmala Hyderabad,70000,3389 sqft,Villa,Furnished,,,7,1,Bachelors/Family,Immediately
Hyderabad,2,"Prestige High Fields, Financial District, Nanakram Guda, Hyderabad",53000,1000 sqft,Flat,Semi-Furnished,East,Main Road,2,1,Bachelors/Family,Immediately
Hyderabad,2,"Nebula Aavaas, Miyapur, NH 9, Hyderabad",32000,1214 sqft,Flat,Semi-Furnished,,,2,,Bachelors/Family,Immediately
Hyderabad,3,"Prestige Beverly Hills, Kokapet, Outer Ring Road, Hyderabad",75000,1150 sqft,Flat,Semi-Furnished,,,3,2,Bachelors/Family,Immediately
Hyderabad,2,"Khanapur, Hyderabad",18000,600 sqft,Flat,Unfurnished,East,Main Road,2,1,Bachelors,Immediately
Hyderabad,3,"Yapral, Hyderabad",26000,2000 sqft,Flat,Unfurnished,East,Garden/Park,3,4,Bachelors,Immediately
Hyderabad,2,"NLC Anandi, Ameenpur, Hyderabad",15000,1160 sqft,Flat,Unfurnished,,,2,1,Bachelors/Family,Immediately
Hyderabad,3,"Banjara Hills, NH 9, Hyderabad",50 Lac,3665 sqft,Flat,Furnished,South,"Garden/Park, Main Road",4,2,Family,Immediately
Hyderabad,10,"Kollur, Outer Ring Road Hyderabad",12 Lac,"50,000 sqft",House,Unfurnished,,,> 10,> 10,Bachelors/Family,Immediately
Hyderabad,2,"Sri Tirumala Avasa, Pocharam, NH 2 2, Hyderabad",15000,1100 sqft,Flat,Semi-Furnished,,,2,2,Bachelors,Immediately
Hyderabad,2,"venkata Sai nivas, Balkampet, Hyderabad",27000,1200 sqft,Flat,Semi-Furnished,,,2,2,Bachelors/Family,Immediately
Hyderabad,2,Beeramguda Ramachandrapuram Hyderabad,15000,950 sqft,House,Semi-Furnished,West,,2,1,Family,From Feb '26
Hyderabad,3,"Bowrampet, Outer Ring Road Hyderabad",26000,2200 sqft,House,Unfurnished,,,3,,Bachelors/Family,Immediately
Hyderabad,2,"Janapriya Unnati, Isnapur, Outer Ring Road, Hyderabad",11000,500 sqft,Flat,Unfurnished,North,Main Road,2,,Bachelors/Family,Immediately
Hyderabad,3,"Navya Residency, Nagole, Hyderabad",27000,3200 sqft,Flat,Semi-Furnished,,,2,3,Bachelors/Family,Immediately
Hyderabad,3,"Hallmark Pinnacle, Kollur, Outer Ring Road, Hyderabad",30000,1285 sqft,Flat,Semi-Furnished,West,,2,1,Bachelors/Family,Immediately
Hyderabad,2,"Sharada Nagar Vanasthalipuram, Hyderabad",20000,1000 sqft,Flat,Furnished,West,Main Road,2,2,Bachelors/Family,Immediately
Hyderabad,3,"Prajay Megapolis, Hafeezpet, NH 9, Hyderabad",48000,1600 sqft,Flat,Semi-Furnished,East,"Garden/Park, Main Road",3,1,Bachelors,Immediately
Hyderabad,3,"Sumadhura Acropolis, Gachibowli, Hyderabad",70000,1745 sqft,Flat,Semi-Furnished,,,3,3,Bachelors/Family,Immediately
Hyderabad,1,"Padmavathi Nilayam, Kondapur, Hyderabad",20000,550 sqft,Flat,Semi-Furnished,East,Main Road,1,1,Bachelors/Family,Immediately
Hyderabad,2,"Aparna Kanopy Yellow Bells, Gundlapochampally, Outer Ring Road, Hyderabad",28000,1362 sqft,Flat,Semi-Furnished,East,,2,1,Bachelors/Family,Immediately
Hyderabad,3,"Suvela Sai Shradha, Silpa Park, Hyderabad",55000,1451 sqft,Flat,Furnished,North - East,Garden/Park,3,,Family,Immediately
Hyderabad,2,"Sita Heights Asif Nagar, Asif Nagar, Hyderabad",15000,845 sqft,Flat,Semi-Furnished,,,2,1,Bachelors/Family,Immediately
Hyderabad,3,"NCL Sindhu, Kompally, Hyderabad",35000,1890 sqft,Flat,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",3,1,Bachelors/Family,From Feb '26
Hyderabad,3,"Aparna Sarovar Zicon, Nalagandla, Hyderabad",65000,1910 sqft,Flat,Semi-Furnished,,,3,,Bachelors/Family,Immediately
Hyderabad,2,Deen Dayal Nagar A S Rao Nagar Hyderabad,12000,600 sqft,House,Semi-Furnished,North,Main Road,2,2,Bachelors,Immediately
Hyderabad,3,Bachupally Hyderabad,25000,1860 sqft,Villa,Semi-Furnished,,,3,1,Bachelors/Family,Immediately
Hyderabad,2,Kapra Hyderabad,11000,1500 sqft,House,Semi-Furnished,West,,2,3,Bachelors/Family,Immediately
Hyderabad,2,Vijay Puri Colony Hyderabad,21500,1800 sqft,House,Semi-Furnished,,,2,1,Bachelors/Family,From Mar '26
Hyderabad,2,Anand Nagar Colony Hyderabad,15000,650 sqft,House,Semi-Furnished,West,,1,,Bachelors/Family,From Feb '26
Hyderabad,3,"Good Luck Assets, Adibatla, Hyderabad",1.1 Lac,500 sqft,Flat,Unfurnished,,,2,2,Bachelors/Family,Immediately
Hyderabad,2,"Friends Colony Jai Hind Nagar Colony, Hyderabad",19000,1100 sqft,Flat,Semi-Furnished,East,Garden/Park,2,1,Family,Immediately
Hyderabad,3,"Toli Chowki, Hyderabad",45000,2200 sqft,Flat,Furnished,East,Garden/Park,3,1,Bachelors/Family,Immediately
Hyderabad,3,"Riddhis Nest, Hitech City, Hyderabad",55000,1200 sqft,Flat,Furnished,North,,3,2,Bachelors/Family,Immediately
Hyderabad,1,Dwarakamayee jpr coloney idpl chintal Hyderabad,7500,450 sqft,House,Unfurnished,East,Main Road,1,1,Bachelors,Immediately
Hyderabad,4,"Nandagiri Hills, Jubilee Hills, Hyderabad",1.5 Lac,3045 sqft,Flat,Furnished,North,Main Road,4,2,Bachelors,From Apr '26
Hyderabad,2,"Pothreddipalle, Hyderabad",12000,1000 sqft,Flat,Unfurnished,North - East,Main Road,2,2,Bachelors/Family,From Jan '26
Hyderabad,4,Kapra Saket Road Hyderabad,25000,280 sqyrd,House,Unfurnished,East,Garden/Park,4,3,Family,Immediately
Hyderabad,3,Nagole Hyderabad,46000,2800 sqft,Villa,Furnished,,"Garden/Park, Pool",3,2,Bachelors,Immediately
Hyderabad,2,Suncity Hyderabad,20000,150 sqyrd,House,Unfurnished,,,3,,Bachelors/Family,Immediately
Hyderabad,3,"Sri Ram Garden By Jains, Suchitra Road, Hyderabad",55000,1950 sqft,Flat,Furnished,North - East,Main Road,3,3,Bachelors/Family,Immediately
Hyderabad,3,"Tellapur, Outer Ring Road, Hyderabad",56000,2083 sqft,Flat,Semi-Furnished,East,"Garden/Park, Main Road",3,3,Bachelors/Family,From Mar '26
Hyderabad,3,"Uppal, NH 2 2, Hyderabad",25000,1500 sqft,Flat,Semi-Furnished,East,,3,3,Bachelors/Family,Immediately
Hyderabad,2,Saptagiri Colony Vivekananda Nagar Hyderabad,17000,1100 sqft,House,Semi-Furnished,North,Main Road,2,2,Family,Immediately
Hyderabad,3,"GK Pride, Yapral, Hyderabad",35000,1585 sqft,Flat,Semi-Furnished,West,"Garden/Park, Pool",3,1,Bachelors/Family,Immediately
Hyderabad,2,"Chittamma Nagar Colony, Secunderabad Hyderabad",12000,1100 sqft,House,Unfurnished,East,Main Road,2,,Family,Immediately
Hyderabad,2,"Shamshiguda, Hyderabad",19800,750 sqft,Flat,Unfurnished,East,,2,1,Bachelors/Family,Immediately
Hyderabad,3,"Kukatpally, NH 9 Hyderabad",30000,1460 sqft,Villa,Semi-Furnished,West,,3,1,Bachelors/Family,Immediately
Hyderabad,3,"Masjid Banda Main Road, Hyderabad",62000,1850 sqft,Flat,Furnished,East,"Garden/Park, Main Road",3,3,Bachelors,Immediately
Hyderabad,3,"Ramky One Harmony, Pragathi Nagar, Kukatpally, Hyderabad",44000,1540 sqft,Flat,Semi-Furnished,East,Garden/Park,3,2,Bachelors,Immediately
Hyderabad,3,"Phase 5th KPHB, Hyderabad",75000,2300 sqft,Flat,Semi-Furnished,East,"Garden/Park, Main Road",4,4,Bachelors,Immediately
Hyderabad,3,"Hallmark Treasor, Narsingi, Outer Ring Road, Hyderabad",64000,1700 sqft,Flat,Semi-Furnished,East,"Garden/Park, Main Road",3,2,Bachelors/Family,Immediately
Hyderabad,3,"Narsingi, Outer Ring Road, Hyderabad",38000,1717 sqft,Flat,Semi-Furnished,East,Main Road,3,3,Bachelors/Family,Immediately
Hyderabad,4,"Aparna Luxor Park, Kondapur, Hyderabad",1.4 Lac,3070 sqft,Flat,Semi-Furnished,East,Garden/Park,4,2,Family,Immediately
Hyderabad,3,"Muppas Aaradhya, Narsingi, Outer Ring Road, Hyderabad",45000,1650 sqft,Flat,Semi-Furnished,West,"Pool, Garden/Park, Main Road",3,1,Bachelors,Immediately
Hyderabad,1,"Boduppal, NH 2 2, Hyderabad",9000,95 sqyrd,Flat,Unfurnished,North,Main Road,1,2,Bachelors,Immediately
Hyderabad,3,"Aparna Cyber Commune, Nalagandla, Hyderabad",54000,1600 sqft,Flat,Furnished,East,"Garden/Park, Main Road",3,2,Bachelors,Immediately
Hyderabad,3,"Kavadiguda, NH 7, Hyderabad",45000,3200 sqft,Flat,Furnished,North - East,Main Road,3,1,Bachelors/Family,Immediately
Hyderabad,3,AS Rao Nagar Hyderabad,30000,1950 sqft,Villa,Semi-Furnished,,Main Road,3,3,Bachelors/Family,Immediately
Hyderabad,1,"West Hanuman Nagar, Hyderabad",6500,100 sqyrd,Flat,Unfurnished,North,Main Road,1,1,Bachelors/Family,Immediately
Hyderabad,1,"Miyapur Road, Hyderabad",15000,750 sqft,Flat,Unfurnished,North,,1,,Bachelors,Immediately
Hyderabad,2,"Hyder Nagar, NH 9, Hyderabad",25000,1250 sqft,Flat,Semi-Furnished,North,Main Road,2,2,Bachelors/Family,Immediately
Hyderabad,3,"Ravi Teja Complex, Mehdipatnam, Hyderabad",29000,1500 sqft,Flat,Semi-Furnished,North,Main Road,2,2,Bachelors/Family,Immediately
Hyderabad,3,"Futnani Towers, Jeedimetla, Hyderabad",30000,1400 sqft,Flat,Semi-Furnished,North - East,Main Road,3,3,Bachelors/Family,Immediately
Hyderabad,3,"Aditya DSR LakeSide, Indira Nagar Gachibowli, Hyderabad",65000,2200 sqft,Flat,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,2,Bachelors/Family,Immediately
Hyderabad,2,Radha Krishna Nagar Attapur Hyderabad,25000,240 sqft,House,Semi-Furnished,North,"Garden/Park, Main Road",2,2,Bachelors/Family,Immediately
Hyderabad,3,"Kondapur, Hyderabad",1.4 Lac,2000 sqft,Flat,Semi-Furnished,West,"Garden/Park, Pool",4,1,Bachelors,Immediately
Hyderabad,2,Bhagat Singh Nagar Sanath Nagar Hyderabad,28000,1213 sqft,House,Semi-Furnished,South - East,Garden/Park,2,4,Bachelors/Family,Immediately
Hyderabad,1,Osmanpura Colony Hyderabad,8500,900 sqft,House,Unfurnished,East,Main Road,1,1,Bachelors/Family,Immediately
Hyderabad,3,"My Home Raka, Serilingampalle M, Hyderabad",75000,2244 sqft,Flat,Semi-Furnished,West,"Garden/Park, Pool, Main Road",3,2,Bachelors/Family,Immediately
Hyderabad,5,"Banjara Hills, NH 9 Hyderabad",1.5 Lac,3900 sqft,House,Furnished,East,Main Road,5,3,Bachelors/Family,Immediately
Hyderabad,3,"MLA Colony Film Nagar, Hyderabad",80000,2500 sqft,Flat,Furnished,East,"Garden/Park, Main Road",3,3,Bachelors,Immediately
Hyderabad,3,"Sabza Colony, Toli Chowki, Hyderabad",45000,1350 sqft,Flat,Semi-Furnished,East,Main Road,3,2,Bachelors/Family,Immediately
Hyderabad,2,"Padmarao Nagar, Hyderabad-Karimnagar Highway Hyderabad",35000,1800 sqft,House,Semi-Furnished,East,,2,2,Bachelors/Family,Immediately
Hyderabad,4,"Pacifica Hillcrest, Gachibowli, Hyderabad",85000,2400 sqft,Flat,Furnished,East,"Garden/Park, Main Road",4,3,Bachelors,Immediately
Hyderabad,1,"Prashanth Kuteer, Uppal, NH 2 2, Hyderabad",30000,650 sqft,Flat,Furnished,North,Main Road,1,,Bachelors/Family,Immediately
Hyderabad,4,"Tellapur, Outer Ring Road Hyderabad",1.3 Lac,3500 sqft,Villa,Furnished,East,,4,,Bachelors/Family,Immediately
Hyderabad,3,"Moula Ali, Hyderabad",30000,1560 sqft,Flat,Semi-Furnished,East,"Garden/Park, Pool, Main Road",2,1,Bachelors/Family,Immediately
Hyderabad,1,"Anjaiah Nagar Gachibowli, Hyderabad",16000,400 sqft,Flat,Unfurnished,East,Garden/Park,1,,Bachelors/Family,Immediately
Hyderabad,3,"Kokapet, Outer Ring Road, Hyderabad",80000,1250 sqft,Flat,Furnished,,,3,2,Bachelors/Family,Immediately
